latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.126537,-106.74034,486.0,-21600,America/Regina,CST

time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h)
2000-01-01T00:00,-14.8,12.2,23.0
2000-01-01T01:00,-14.1,12.1,22.0
2000-01-01T02:00,-13.6,12.6,22.3
2000-01-01T03:00,-12.8,13.5,24.1
2000-01-01T04:00,-12.3,14.1,24.5
2000-01-01T05:00,-12.0,13.2,24.5
2000-01-01T06:00,-11.3,13.4,24.1
2000-01-01T07:00,-10.6,13.8,24.5
2000-01-01T08:00,-10.3,14.1,24.8
2000-01-01T09:00,-9.9,15.2,26.3
2000-01-01T10:00,-9.7,16.3,27.4
2000-01-01T11:00,-9.3,17.3,29.9
2000-01-01T12:00,-9.2,18.4,32.0
2000-01-01T13:00,-10.3,18.2,34.2
2000-01-01T14:00,-10.2,18.1,34.2
2000-01-01T15:00,-10.6,18.9,35.3
2000-01-01T16:00,-11.7,19.2,35.6
2000-01-01T17:00,-13.0,19.1,34.9
2000-01-01T18:00,-14.2,19.2,34.6
2000-01-01T19:00,-15.1,19.8,35.3
2000-01-01T20:00,-16.0,19.5,35.3
2000-01-01T21:00,-16.8,18.3,34.9
2000-01-01T22:00,-17.5,17.7,34.6
2000-01-01T23:00,-18.0,15.8,32.4
2000-01-02T00:00,-18.4,14.3,31.7
2000-01-02T01:00,-19.3,13.8,25.6
2000-01-02T02:00,-19.7,13.3,25.9
2000-01-02T03:00,-20.2,11.0,25.2
2000-01-02T04:00,-20.4,12.8,22.7
2000-01-02T05:00,-20.7,12.6,24.5
2000-01-02T06:00,-21.0,13.5,26.6
2000-01-02T07:00,-21.3,13.2,27.0
2000-01-02T08:00,-21.5,13.1,26.6
2000-01-02T09:00,-21.4,13.1,26.6
2000-01-02T10:00,-21.1,12.1,25.9
2000-01-02T11:00,-20.4,10.2,24.8
2000-01-02T12:00,-19.5,9.7,22.3
2000-01-02T13:00,-19.3,10.0,20.2
2000-01-02T14:00,-18.8,10.4,20.9
2000-01-02T15:00,-18.5,10.8,21.2
2000-01-02T16:00,-18.5,11.0,20.9
2000-01-02T17:00,-18.8,10.9,20.9
2000-01-02T18:00,-19.1,10.3,19.8
2000-01-02T19:00,-19.4,8.7,18.7
2000-01-02T20:00,-19.5,7.6,16.2
2000-01-02T21:00,-19.5,8.4,14.8
2000-01-02T22:00,-19.4,8.7,14.8
2000-01-02T23:00,-19.4,7.9,14.0
2000-01-03T00:00,-19.3,5.1,11.5
2000-01-03T01:00,-19.6,4.5,10.4
2000-01-03T02:00,-19.8,4.2,9.0
2000-01-03T03:00,-19.9,5.5,9.4
2000-01-03T04:00,-20.3,6.8,10.1
2000-01-03T05:00,-20.1,6.9,10.4
2000-01-03T06:00,-18.9,6.9,9.7
2000-01-03T07:00,-19.3,7.1,9.0
2000-01-03T08:00,-20.1,7.2,8.6
2000-01-03T09:00,-20.8,7.2,8.6
2000-01-03T10:00,-21.3,7.1,8.6
2000-01-03T11:00,-20.3,7.3,9.4
2000-01-03T12:00,-20.1,5.5,11.2
2000-01-03T13:00,-21.6,7.6,12.6
2000-01-03T14:00,-18.7,8.4,14.0
2000-01-03T15:00,-17.7,9.3,14.8
2000-01-03T16:00,-18.0,8.7,14.4
2000-01-03T17:00,-19.4,9.3,14.4
2000-01-03T18:00,-21.2,10.5,15.8
2000-01-03T19:00,-22.5,11.3,17.3
2000-01-03T20:00,-23.5,11.7,18.4
2000-01-03T21:00,-24.1,11.9,18.4
2000-01-03T22:00,-24.5,11.2,18.4
2000-01-03T23:00,-24.5,10.5,17.6
2000-01-04T00:00,-24.4,10.3,18.4
2000-01-04T01:00,-25.4,8.8,17.3
2000-01-04T02:00,-25.8,8.4,15.1
2000-01-04T03:00,-26.1,8.7,15.1
2000-01-04T04:00,-26.3,9.3,14.8
2000-01-04T05:00,-26.2,10.0,16.6
2000-01-04T06:00,-25.6,9.1,16.6
2000-01-04T07:00,-25.4,9.7,15.8
2000-01-04T08:00,-24.8,9.9,16.9
2000-01-04T09:00,-24.5,9.4,16.9
2000-01-04T10:00,-23.6,9.7,16.2
2000-01-04T11:00,-20.9,12.4,18.7
2000-01-04T12:00,-17.9,11.6,22.3
2000-01-04T13:00,-15.6,10.0,19.8
2000-01-04T14:00,-14.1,11.5,20.2
2000-01-04T15:00,-13.2,12.2,21.6
2000-01-04T16:00,-13.0,11.4,21.6
2000-01-04T17:00,-13.1,12.5,22.0
2000-01-04T18:00,-13.3,13.5,23.0
2000-01-04T19:00,-13.3,13.6,23.4
2000-01-04T20:00,-13.2,13.2,23.8
2000-01-04T21:00,-13.1,13.2,24.8
2000-01-04T22:00,-13.1,14.2,25.6
2000-01-04T23:00,-13.1,14.6,25.9
2000-01-05T00:00,-13.4,14.2,26.6
2000-01-05T01:00,-15.0,13.8,24.1
2000-01-05T02:00,-15.7,13.6,23.8
2000-01-05T03:00,-16.2,13.0,23.4
2000-01-05T04:00,-16.6,12.3,22.3
2000-01-05T05:00,-17.0,12.2,21.6
2000-01-05T06:00,-17.3,9.7,20.2
2000-01-05T07:00,-18.0,8.0,18.4
2000-01-05T08:00,-18.1,7.2,14.4
2000-01-05T09:00,-18.3,5.6,13.3
2000-01-05T10:00,-18.1,4.7,11.5
2000-01-05T11:00,-17.6,3.9,11.5
2000-01-05T12:00,-16.9,5.8,11.5
2000-01-05T13:00,-15.8,7.0,13.3
2000-01-05T14:00,-14.8,8.8,15.1
2000-01-05T15:00,-14.0,10.8,16.6
2000-01-05T16:00,-13.7,11.6,18.4
2000-01-05T17:00,-13.6,16.2,24.1
2000-01-05T18:00,-13.6,19.8,31.0
2000-01-05T19:00,-13.9,21.2,34.2
2000-01-05T20:00,-14.5,21.5,34.9
2000-01-05T21:00,-15.2,20.4,34.6
2000-01-05T22:00,-15.8,19.4,33.1
2000-01-05T23:00,-16.2,18.4,32.0
2000-01-06T00:00,-16.7,17.9,30.6
2000-01-06T01:00,-17.5,15.4,28.8
2000-01-06T02:00,-18.1,13.7,24.8
2000-01-06T03:00,-18.7,11.8,22.3
2000-01-06T04:00,-19.5,10.7,19.4
2000-01-06T05:00,-20.5,10.5,16.2
2000-01-06T06:00,-21.3,10.3,15.1
2000-01-06T07:00,-22.1,9.8,15.1
2000-01-06T08:00,-22.9,11.6,13.3
2000-01-06T09:00,-23.6,11.7,13.3
2000-01-06T10:00,-24.0,11.6,13.7
2000-01-06T11:00,-23.6,7.6,13.0
2000-01-06T12:00,-21.4,6.2,13.3
2000-01-06T13:00,-19.3,7.6,12.6
2000-01-06T14:00,-17.9,5.6,12.6
2000-01-06T15:00,-17.5,5.1,11.2
2000-01-06T16:00,-17.4,6.5,10.4
2000-01-06T17:00,-18.2,7.7,10.4
2000-01-06T18:00,-18.7,8.5,13.3
2000-01-06T19:00,-18.8,9.5,14.8
2000-01-06T20:00,-18.5,10.4,16.6
2000-01-06T21:00,-17.8,11.9,19.1
2000-01-06T22:00,-16.2,13.7,22.3
2000-01-06T23:00,-14.1,14.4,24.5
2000-01-07T00:00,-12.3,14.7,24.5
