latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.126537,-106.74034,486.0,-21600,America/Regina,CST

time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h)
2024-02-27T00:00,-21.7,16.2,27.4
2024-02-27T01:00,-22.8,13.7,24.8
2024-02-27T02:00,-23.5,13.1,21.6
2024-02-27T03:00,-25.1,11.0,20.2
2024-02-27T04:00,-26.0,10.7,16.9
2024-02-27T05:00,-26.7,11.1,16.6
2024-02-27T06:00,-27.6,9.8,16.9
2024-02-27T07:00,-25.6,10.5,19.1
2024-02-27T08:00,-25.7,7.4,16.6
2024-02-27T09:00,-25.3,8.0,12.2
2024-02-27T10:00,-24.1,7.8,14.8
2024-02-27T11:00,-23.1,7.4,14.8
2024-02-27T12:00,-22.4,5.9,15.1
2024-02-27T13:00,-21.7,8.4,17.3
2024-02-27T14:00,-21.1,9.7,19.4
2024-02-27T15:00,-20.6,9.0,19.8
2024-02-27T16:00,-20.2,9.0,18.0
2024-02-27T17:00,-19.8,9.7,18.7
2024-02-27T18:00,-19.8,9.0,17.3
2024-02-27T19:00,-20.0,7.7,16.2
2024-02-27T20:00,-20.8,6.9,11.9
2024-02-27T21:00,-21.6,6.5,10.8
2024-02-27T22:00,-22.5,7.3,10.8
2024-02-27T23:00,-23.3,8.0,12.2
2024-02-28T00:00,-24.3,6.5,12.6
2024-02-28T01:00,-25.9,9.4,10.8
2024-02-28T02:00,-25.4,6.6,10.4
2024-02-28T03:00,-25.6,6.2,7.6
2024-02-28T04:00,-26.8,5.0,6.8
2024-02-28T05:00,-26.6,5.5,8.3
2024-02-28T06:00,-26.1,6.4,9.7
2024-02-28T07:00,-27.3,7.4,11.2
2024-02-28T08:00,-27.6,7.9,12.2
2024-02-28T09:00,-26.3,9.9,15.1
2024-02-28T10:00,-24.4,15.5,21.2
2024-02-28T11:00,-22.3,12.9,23.8
2024-02-28T12:00,-20.7,15.2,26.3
2024-02-28T13:00,-19.5,14.2,26.6
2024-02-28T14:00,-18.4,18.0,31.7
2024-02-28T15:00,-17.4,18.5,32.4
2024-02-28T16:00,-16.3,18.9,33.1
2024-02-28T17:00,-16.1,15.2,32.0
2024-02-28T18:00,-16.3,17.7,28.8
2024-02-28T19:00,-15.9,20.4,32.4
2024-02-28T20:00,-15.1,22.5,36.0
2024-02-28T21:00,-14.3,23.7,38.2
2024-02-28T22:00,-13.9,23.6,39.2
2024-02-28T23:00,-13.0,22.5,38.9
2024-02-29T00:00,-12.5,21.5,37.1
2024-02-29T01:00,-12.0,19.9,37.1
2024-02-29T02:00,-12.0,20.6,32.8
2024-02-29T03:00,-12.1,18.5,32.8
2024-02-29T04:00,-12.0,17.1,29.5
