latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.60281,-113.27586,614.0,-25200,America/Edmonton,MST

time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h)
2024-01-30T00:00,3.7,14.1,23.0
2024-01-30T01:00,4.7,16.5,25.9
2024-01-30T02:00,5.3,17.7,32.0
2024-01-30T03:00,5.8,20.3,32.8
2024-01-30T04:00,5.5,20.9,34.9
2024-01-30T05:00,5.8,21.6,36.4
2024-01-30T06:00,5.9,23.1,43.2
2024-01-30T07:00,6.4,25.0,44.6
2024-01-30T08:00,6.6,21.8,42.5
2024-01-30T09:00,9.2,34.6,59.4
2024-01-30T10:00,9.6,30.2,58.3
2024-01-30T11:00,9.1,21.3,51.1
2024-01-30T12:00,9.6,14.7,34.2
2024-01-30T13:00,10.6,13.5,23.4
2024-01-30T14:00,10.9,19.9,30.6
2024-01-30T15:00,10.2,21.4,36.0
2024-01-30T16:00,8.5,19.3,34.9
2024-01-30T17:00,5.9,17.6,31.3
2024-01-30T18:00,2.8,10.3,17.3
2024-01-30T19:00,2.1,10.7,16.9
2024-01-30T20:00,1.9,11.9,19.1
2024-01-30T21:00,1.2,10.5,18.7
2024-01-30T22:00,-0.0,10.4,16.6
2024-01-30T23:00,-0.9,10.2,14.8
2024-01-31T00:00,-1.5,11.6,15.5
2024-01-31T01:00,-1.0,13.4,22.7
2024-01-31T02:00,-2.3,8.1,20.5
2024-01-31T03:00,-2.4,6.4,11.9
2024-01-31T04:00,-0.5,3.2,7.6
2024-01-31T05:00,-2.5,4.3,5.4
2024-01-31T06:00,-4.0,9.1,11.2
2024-01-31T07:00,-2.5,10.6,15.8
2024-01-31T08:00,-0.7,11.2,17.6
2024-01-31T09:00,0.4,14.7,23.0
2024-01-31T10:00,2.4,17.9,28.4
2024-01-31T11:00,4.2,18.8,30.2
2024-01-31T12:00,5.6,17.7,31.7
2024-01-31T13:00,6.3,17.6,30.6
2024-01-31T14:00,6.3,21.5,37.4
2024-01-31T15:00,6.1,21.8,37.8
2024-01-31T16:00,5.1,20.7,35.3
2024-01-31T17:00,3.5,19.0,33.8
2024-01-31T18:00,3.1,22.0,37.1
2024-01-31T19:00,3.8,19.7,37.4
2024-01-31T20:00,3.5,16.1,32.4
2024-01-31T21:00,2.6,14.0,26.6
2024-01-31T22:00,2.6,12.7,23.0
2024-01-31T23:00,2.5,12.0,21.2
2024-02-01T00:00,2.8,12.5,20.5
2024-02-01T01:00,2.6,14.3,23.0
2024-02-01T02:00,2.5,14.1,24.1
2024-02-01T03:00,2.5,13.8,23.0
2024-02-01T04:00,2.6,13.7,22.7
2024-02-01T05:00,2.3,11.4,22.3
2024-02-01T06:00,1.2,11.9,19.4
2024-02-01T07:00,0.5,9.1,19.1
2024-02-01T08:00,-0.6,8.2,14.4
2024-02-01T09:00,-0.1,8.0,12.6
2024-02-01T10:00,2.1,9.7,13.0
2024-02-01T11:00,3.6,8.2,15.1
2024-02-01T12:00,4.9,6.5,14.8
2024-02-01T13:00,6.3,6.7,14.0
2024-02-01T14:00,7.2,6.7,14.0
2024-02-01T15:00,7.3,6.3,13.0
2024-02-01T16:00,4.7,8.1,9.4
2024-02-01T17:00,1.1,10.3,11.9
2024-02-01T18:00,0.3,8.6,14.4
2024-02-01T19:00,-0.7,9.7,13.3
2024-02-01T20:00,-0.9,9.4,13.3
2024-02-01T21:00,-0.7,8.4,13.0
2024-02-01T22:00,-0.2,8.4,13.3
2024-02-01T23:00,-0.5,9.0,13.3
2024-02-02T00:00,-1.5,11.6,14.4
